Time                CORE-spark-VM       YK-spark-VM         CT-spark-VM         WT-spark-VM         CORE-kafka-VM       YK-kafka-VM         CT-kafka-VM         WT-kafka-VM         CORE-cassandra-VM   CORE-spark-cont     YK-spark-cont       CT-spark-cont       WT-spark-cont       CORE-kafka-cont     YK-kafka-cont       CT-kafka-cont       WT-kafka-cont       CORE-cassandra-cont 
1485548678               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548684               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548691               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548698               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548704               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548711               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548718               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548769               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548783               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548790               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548797               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548803               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548810               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548817               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548823               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  11                  3                   
1485548832               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  11                  11                  11                  3                   
1485548838               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   5                   11                  11                  11                  10                  3                   
1485548845               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   5                   6                   5                   11                  10                  11                  10                  3                   
1485548852               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   5                   5                   5                   11                  10                  10                  10                  3                   
