Time                CORE-spark-VM       CG-spark-VM         CT-spark-VM         WT-spark-VM         CORE-kafka-VM       CG-kafka-VM         CT-kafka-VM         WT-kafka-VM         CORE-cassandra-VM   CORE-spark-cont     CG-spark-cont       CT-spark-cont       WT-spark-cont       CORE-kafka-cont     CG-kafka-cont       CT-kafka-cont       WT-kafka-cont       CORE-cassandra-cont 
1486702110               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702118               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702126               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702134               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702143               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702152               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702160               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702167               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702175               1                   1                   1                   2                   2                   1                   2                   3                   1                   2                   2                   3                   6                   4                   4                   5                   12                  2                   
1486702183               1                   1                   1                   2                   2                   1                   2                   3                   1                   3                   2                   3                   6                   5                   4                   5                   12                  2                   
1486702190               1                   1                   1                   2                   2                   1                   2                   3                   1                   3                   2                   3                   6                   5                   4                   6                   12                  2                   
1486702198               1                   1                   1                   2                   2                   1                   2                   3                   1                   3                   2                   3                   6                   6                   4                   6                   12                  2                   
